Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
Phillipson,Philips
eight,ate
four,full
four,fur
sort,salt
Talon,talent
launch,launched
C#,C shop
C#,C sharp
beta,beater
pd,pdf
apia,API
to,too
sync,sink
rows,rose
Aadil,adel
Entra,entre
Azure,ager
Meyers,mayas
Meyers,Myers
add,ad
schema,schemer
main,mane
WhatsApp,what sap
colour,collar
colours,collars
etc.,et
called,cold
commands,commence
